"Curve Name","Curve Length (um)","Average Curvature (um-1)","Curvature Std (um-1)","X-Coordinate (um)","Y-Coordinate (um)","Point Curvature (um-1)","Point Curvature Sign","Red Intensity","Green Intensity","Blue Intensity"
"CURVE 1","24.179446644262477","0.029609717660289525","0.018685578761908697","115.52","139.68","4.4395895224941376E-4","-1","4694.0","4694.0","4694.0"
"CURVE 1","24.179446644262477","0.029609717660289525","0.018685578761908697","115.5666558011373","139.7285234673818","4.280574367835684E-4","-1","4694.0","4694.0","4694.0"
"CURVE 1","24.179446644262477","0.029609717660289525","0.018685578761908697","115.61287531534832","139.77659594217937","4.111622433494825E-4","-1","4694.0","4694.0","4694.0"
"CURVE 1","24.179446644262477","0.029609717660289525","0.018685578761908697","115.65866170883179","139.82422053337098","3.932314052608901E-4","-1","4694.0","4694.0","4694.0"
"CURVE 1","24.179446644262477","0.029609717660289525","0.018685578761908697","115.70401814778647","139.8714003499349","3.742214191546752E-4","-1","4934.0","4934.0","4934.0"
"CURVE 1","24.179446644262477","0.029609717660289525","0.018685578761908697","115.74894779841107","139.9181385008494","3.540872016103957E-4","-1","4934.0","4934.0","4934.0"
"CURVE 1","24.179446644262477","0.029609717660289525","0.018685578761908697","115.7934538269043","139.9644380950928","3.327820440543978E-4","-1","4934.0","4934.0","4934.0"
"CURVE 1","24.179446644262477","0.029609717660289525","0.018685578761908697","115.83753939946493","140.01030224164327","3.102575608464476E-4","-1","4386.0","4386.0","4386.0"
"CURVE 1","24.179446644262477","0.029609717660289525","0.018685578761908697","115.88120768229169","140.05573404947918","2.8646364378496846E-4","-1","4729.0","4729.0","4729.0"
"CURVE 1","24.179446644262477","0.029609717660289525","0.018685578761908697","115.92446184158325","140.10073662757873","2.613484163908031E-4","-1","4729.0","4729.0","4729.0"
"CURVE 1","24.179446644262477","0.029609717660289525","0.018685578761908697","115.96730504353842","140.14531308492025","2.3485818037106737E-4","-1","4729.0","4729.0","4729.0"
"CURVE 1","24.179446644262477","0.029609717660289525","0.018685578761908697","116.00974045435589","140.18946653048198","2.069373689675823E-4","-1","4751.0","4751.0","4751.0"
"CURVE 1","24.179446644262477","0.029609717660289525","0.018685578761908697","116.05177124023437","140.2332000732422","1.775284992049618E-4","-1","4751.0","4751.0","4751.0"
"CURVE 1","24.179446644262477","0.029609717660289525","0.018685578761908697","116.09340056737265","140.27651682217916","1.4657211833916668E-4","-1","4751.0","4751.0","4751.0"
"CURVE 1","24.179446644262477","0.029609717660289525","0.018685578761908697","116.13463160196942","140.31941988627116","1.1400675669947968E-4","-1","4751.0","4751.0","4751.0"
"CURVE 1","24.179446644262477","0.029609717660289525","0.018685578761908697","116.17546751022338","140.36191237449646","7.976888235913983E-5","-1","4657.0","4657.0","4657.0"
"CURVE 1","24.179446644262477","0.029609717660289525","0.018685578761908697","116.21591145833334","140.40399739583333","4.3792845736488204E-5","-1","4657.0","4657.0","4657.0"
"CURVE 1","24.179446644262477","0.029609717660289525","0.018685578761908697","116.25596661249799","140.44567805926008","6.010835003481544E-6","-1","4657.0","4657.0","4657.0"
"CURVE 1","24.179446644262477","0.029609717660289525","0.018685578761908697","116.29563613891602","140.4869574737549","3.364716970085364E-5","1","4563.0","4563.0","4563.0"
"CURVE 1","24.179446644262477","0.029609717660289525","0.018685578761908697","116.33492320378622","140.52783874829612","7.525344842614728E-5","1","4591.0","4591.0","4591.0"
"CURVE 1","24.179446644262477","0.029609717660289525","0.018685578761908697","116.3738309733073","140.568324991862","1.1888258411113606E-4","1","4591.0","4591.0","4591.0"
"CURVE 1","24.179446644262477","0.029609717660289525","0.018685578761908697","116.41236261367798","140.6084193134308","1.6461150341810462E-4","1","4591.0","4591.0","4591.0"
"CURVE 1","24.179446644262477","0.029609717660289525","0.018685578761908697","116.45052129109702","140.64812482198082","2.125195257915253E-4","1","4504.0","4504.0","4504.0"
"CURVE 1","24.179446644262477","0.029609717660289525","0.018685578761908697","116.48831017176312","140.6874446264903","2.6268840109245777E-4","1","4641.0","4641.0","4641.0"
"CURVE 1","24.179446644262477","0.029609717660289525","0.018685578761908697","116.525732421875","140.7263818359375","3.152023466798935E-4","1","4641.0","4641.0","4641.0"
"CURVE 1","24.179446644262477","0.029609717660289525","0.018685578761908697","116.56279120763143","140.76493955930076","3.7014808915812516E-4","1","4641.0","4641.0","4641.0"
"CURVE 1","24.179446644262477","0.029609717660289525","0.018685578761908697","116.59948969523113","140.80312090555827","4.2761489534864683E-4","1","4553.0","4553.0","4553.0"
"CURVE 1","24.179446644262477","0.029609717660289525","0.018685578761908697","116.63583105087281","140.84092898368837","4.8769459810874346E-4","1","4553.0","4553.0","4553.0"
