"Curve Name","Curve Length (um)","Average Curvature (um-1)","Curvature Std (um-1)","X-Coordinate (um)","Y-Coordinate (um)","Point Curvature (um-1)","Point Curvature Sign","Red Intensity","Green Intensity","Blue Intensity"
"CURVE 1","22.43240613810717","0.020153272953951775","0.016396955671070766","160.346669921875","16.72","0.005955105185860815","-1","4398.0","4398.0","4398.0"
"CURVE 1","22.43240613810717","0.020153272953951775","0.016396955671070766","160.37034187859544","16.773598856358877","0.005959007248314714","-1","4398.0","4398.0","4398.0"
"CURVE 1","22.43240613810717","0.020153272953951775","0.016396955671070766","160.3938585286339","16.826896262549564","0.0059617693612759","-1","4845.0","4845.0","4845.0"
"CURVE 1","22.43240613810717","0.020153272953951775","0.016396955671070766","160.4172208129242","16.879893502853374","0.00596335233725863","-1","4845.0","4845.0","4845.0"
"CURVE 1","22.43240613810717","0.020153272953951775","0.016396955671070766","160.44042967240014","16.93259186155163","0.005963716096430575","-1","4845.0","4845.0","4845.0"
"CURVE 1","22.43240613810717","0.020153272953951775","0.016396955671070766","160.4634860479956","16.98499262292564","0.0059628195264132015","-1","5050.0","5050.0","5050.0"
"CURVE 1","22.43240613810717","0.020153272953951775","0.016396955671070766","160.48639088064434","17.03709707125672","0.005960620391372814","-1","5142.0","5142.0","5142.0"
"CURVE 1","22.43240613810717","0.020153272953951775","0.016396955671070766","160.5091451112802","17.088906490826194","0.005957075501782776","-1","5142.0","5142.0","5142.0"
"CURVE 1","22.43240613810717","0.020153272953951775","0.016396955671070766","160.53174968083698","17.14042216591537","0.005952140588231001","-1","5415.0","5415.0","5415.0"
"CURVE 1","22.43240613810717","0.020153272953951775","0.016396955671070766","160.5542055302486","17.191645380805568","0.005945770172806305","-1","5415.0","5415.0","5415.0"
"CURVE 1","22.43240613810717","0.020153272953951775","0.016396955671070766","160.57651360044878","17.2425774197781","0.005937917742332724","-1","5415.0","5415.0","5415.0"
"CURVE 1","22.43240613810717","0.020153272953951775","0.016396955671070766","160.59867483237136","17.293219567114285","0.005928535627475098","-1","5148.0","5148.0","5148.0"
"CURVE 1","22.43240613810717","0.020153272953951775","0.016396955671070766","160.62069016695023","17.343573107095434","0.0059175749212058626","-1","5148.0","5148.0","5148.0"
"CURVE 1","22.43240613810717","0.020153272953951775","0.016396955671070766","160.64256054511915","17.39363932400287","0.005904985626006501","-1","5523.0","5523.0","5523.0"
"CURVE 1","22.43240613810717","0.020153272953951775","0.016396955671070766","160.66428690781194","17.443419502117905","0.0058907165444692","-1","5166.0","5166.0","5166.0"
"CURVE 1","22.43240613810717","0.020153272953951775","0.016396955671070766","160.68587019596248","17.492914925721852","0.005874715111219079","-1","5166.0","5166.0","5166.0"
"CURVE 1","22.43240613810717","0.020153272953951775","0.016396955671070766","160.70731135050457","17.54212687909603","0.005856927629788929","-1","5166.0","5166.0","5166.0"
"CURVE 1","22.43240613810717","0.020153272953951775","0.016396955671070766","160.72861131237198","17.591056646521757","0.0058372991054255795","-1","5166.0","5166.0","5166.0"
"CURVE 1","22.43240613810717","0.020153272953951775","0.016396955671070766","160.7497710224986","17.639705512280344","0.005815773155174804","-1","4903.0","4903.0","4903.0"
"CURVE 1","22.43240613810717","0.020153272953951775","0.016396955671070766","160.77079142181825","17.68807476065311","0.005792292191522437","-1","4903.0","4903.0","4903.0"
"CURVE 1","22.43240613810717","0.020153272953951775","0.016396955671070766","160.7916734512647","17.736165675921367","0.005766797286613932","-1","4903.0","4903.0","4903.0"
"CURVE 1","22.43240613810717","0.020153272953951775","0.016396955671070766","160.81241805177183","17.783979542366435","0.005739228018844914","-1","4804.0","4804.0","4804.0"
"CURVE 1","22.43240613810717","0.020153272953951775","0.016396955671070766","160.8330261642734","17.831517644269624","0.005709522686115319","-1","4804.0","4804.0","4804.0"
"CURVE 1","22.43240613810717","0.020153272953951775","0.016396955671070766","160.85349872970332","17.87878126591226","0.005677618157586009","-1","4804.0","4804.0","4804.0"
"CURVE 1","22.43240613810717","0.020153272953951775","0.016396955671070766","160.87383668899537","17.925771691575648","0.005643449787891121","-1","4726.0","4726.0","4726.0"
"CURVE 1","22.43240613810717","0.020153272953951775","0.016396955671070766","160.89404098308336","17.972490205541106","0.005606951588818209","-1","4726.0","4726.0","4726.0"
"CURVE 1","22.43240613810717","0.020153272953951775","0.016396955671070766","160.9141125529011","18.018938092089957","0.005568056106395639","-1","4726.0","4726.0","4726.0"
