density,sample,row,col
473195.94,0,0.0,0.0
481787.94,1,0.0,1.0
404610.1,2,0.0,2.0
406956.75,3,0.0,3.0
431391.22,4,0.0,4.0
455586.16,5,0.0,5.0
423769.38,6,0.0,6.0
479509.53,7,0.0,7.0
436367.62,8,0.0,8.0
455730.8,9,0.0,9.0
440077.84,10,0.0,10.0
470487.12,11,0.0,11.0
456677.28,12,0.0,12.0
476111.1,13,0.0,13.0
481884.94,14,0.0,14.0
492886.84,15,0.0,15.0
474127.9,16,0.0,16.0
501877.25,17,0.0,17.0
411576.84,18,0.0,18.0
504027.94,19,0.0,19.0
425910.8,20,0.0,20.0
524619.9,21,0.0,21.0
481898.8,22,0.0,22.0
577807.1,23,0.0,23.0
462273.94,24,1.0,0.0
391017.84,25,1.0,1.0
381324.38,26,1.0,2.0
356768.5,27,1.0,3.0
416861.06,28,1.0,4.0
354446.06,29,1.0,5.0
452627.28,30,1.0,6.0
357804.16,31,1.0,7.0
391704.06,32,1.0,8.0
339263.25,33,1.0,9.0
420975.56,34,1.0,10.0
316007.0,35,1.0,11.0
442575.12,36,1.0,12.0
353603.66,37,1.0,13.0
410533.53,38,1.0,14.0
329471.28,39,1.0,15.0
441266.44,40,1.0,16.0
336635.53,41,1.0,17.0
359264.5,42,1.0,18.0
362621.84,43,1.0,19.0
359332.44,44,1.0,20.0
346668.25,45,1.0,21.0
399626.7,46,1.0,22.0
393724.78,47,1.0,23.0
435878.8,48,2.0,0.0
412706.8,49,2.0,1.0
399849.3,50,2.0,2.0
346992.72,51,2.0,3.0
391410.38,52,2.0,4.0
352897.25,53,2.0,5.0
432343.5,54,2.0,6.0
421898.2,55,2.0,7.0
426851.12,56,2.0,8.0
355512.88,57,2.0,9.0
409270.16,58,2.0,10.0
349959.5,59,2.0,11.0
412462.8,60,2.0,12.0
419474.56,61,2.0,13.0
415719.03,62,2.0,14.0
430118.56,63,2.0,15.0
396883.84,64,2.0,16.0
434015.94,65,2.0,17.0
363263.53,66,2.0,18.0
367476.62,67,2.0,19.0
391135.75,68,2.0,20.0
391169.8,69,2.0,21.0
497368.34,70,2.0,22.0
558076.25,71,2.0,23.0
