density,sample,row,col
592086.7,0,0.0,0.0
532705.5,1,0.0,1.0
549338.9,2,0.0,2.0
511029.84,3,0.0,3.0
524339.6,4,0.0,4.0
523126.25,5,0.0,5.0
512988.62,6,0.0,6.0
503244.12,7,0.0,7.0
500565.22,8,0.0,8.0
511065.0,9,0.0,9.0
524978.2,10,0.0,10.0
525375.6,11,0.0,11.0
521893.16,12,0.0,12.0
508724.53,13,0.0,13.0
540142.25,14,0.0,14.0
542620.9,15,0.0,15.0
515023.88,16,0.0,16.0
519468.28,17,0.0,17.0
508889.6,18,0.0,18.0
545516.5,19,0.0,19.0
543759.1,20,0.0,20.0
551543.9,21,0.0,21.0
550395.1,22,0.0,22.0
629709.44,23,0.0,23.0
554104.8,24,1.0,0.0
504984.0,25,1.0,1.0
492329.1,26,1.0,2.0
495936.38,27,1.0,3.0
462444.0,28,1.0,4.0
469023.06,29,1.0,5.0
456147.22,30,1.0,6.0
461319.84,31,1.0,7.0
463449.75,32,1.0,8.0
461805.44,33,1.0,9.0
466822.03,34,1.0,10.0
478791.72,35,1.0,11.0
475470.03,36,1.0,12.0
477865.66,37,1.0,13.0
471612.88,38,1.0,14.0
479875.4,39,1.0,15.0
443606.75,40,1.0,16.0
449796.34,41,1.0,17.0
465973.28,42,1.0,18.0
462931.5,43,1.0,19.0
476360.62,44,1.0,20.0
489118.75,45,1.0,21.0
520679.94,46,1.0,22.0
577542.1,47,1.0,23.0
586386.6,48,2.0,0.0
514538.25,49,2.0,1.0
468611.7,50,2.0,2.0
469834.78,51,2.0,3.0
483008.12,52,2.0,4.0
490060.62,53,2.0,5.0
464543.75,54,2.0,6.0
447782.38,55,2.0,7.0
466834.16,56,2.0,8.0
440596.25,57,2.0,9.0
454698.72,58,2.0,10.0
444313.25,59,2.0,11.0
441591.94,60,2.0,12.0
447497.0,61,2.0,13.0
451742.25,62,2.0,14.0
449312.25,63,2.0,15.0
511686.12,64,2.0,16.0
467186.94,65,2.0,17.0
478989.88,66,2.0,18.0
431438.25,67,2.0,19.0
499712.25,68,2.0,20.0
489578.4,69,2.0,21.0
506913.47,70,2.0,22.0
588924.5,71,2.0,23.0
616508.9,72,3.0,0.0
516223.06,73,3.0,1.0
489221.8,74,3.0,2.0
453970.34,75,3.0,3.0
484501.6,76,3.0,4.0
474558.44,77,3.0,5.0
448774.2,78,3.0,6.0
429808.38,79,3.0,7.0
442443.0,80,3.0,8.0
425738.25,81,3.0,9.0
438378.94,82,3.0,10.0
439180.3,83,3.0,11.0
449336.8,84,3.0,12.0
429412.47,85,3.0,13.0
437129.2,86,3.0,14.0
429886.62,87,3.0,15.0
469917.25,88,3.0,16.0
408398.62,89,3.0,17.0
446412.94,90,3.0,18.0
429287.0,91,3.0,19.0
484080.9,92,3.0,20.0
473924.38,93,3.0,21.0
490290.66,94,3.0,22.0
559344.6,95,3.0,23.0
16693.25,96,4.0,0.0
11419.125,97,4.0,1.0
546149.9,98,4.0,2.0
512554.9,99,4.0,3.0
36916.125,100,4.0,4.0
15480.609,101,4.0,5.0
472547.8,102,4.0,6.0
433658.8,103,4.0,7.0
403716.56,104,4.0,8.0
386790.88,105,4.0,9.0
419789.7,106,4.0,10.0
398942.78,107,4.0,11.0
433418.8,108,4.0,12.0
437069.0,109,4.0,13.0
405788.25,110,4.0,14.0
402111.25,111,4.0,15.0
436985.56,112,4.0,16.0
447801.6,113,4.0,17.0
446326.56,114,4.0,18.0
414563.06,115,4.0,19.0
478530.66,116,4.0,20.0
496959.72,117,4.0,21.0
529355.75,118,4.0,22.0
571521.75,119,4.0,23.0
9880.906,120,5.0,0.0
15669.5625,121,5.0,1.0
516854.56,122,5.0,2.0
493416.38,123,5.0,3.0
4487.9844,124,5.0,4.0
7863.9688,125,5.0,5.0
475554.03,126,5.0,6.0
422736.66,127,5.0,7.0
424787.72,128,5.0,8.0
401700.53,129,5.0,9.0
418887.0,130,5.0,10.0
420913.7,131,5.0,11.0
436540.62,132,5.0,12.0
415427.06,133,5.0,13.0
406630.47,134,5.0,14.0
424097.97,135,5.0,15.0
365299.38,136,5.0,16.0
417819.3,137,5.0,17.0
424694.44,138,5.0,18.0
410523.88,139,5.0,19.0
523977.94,140,5.0,20.0
424510.94,141,5.0,21.0
514667.75,142,5.0,22.0
572950.06,143,5.0,23.0
576010.94,144,6.0,0.0
513094.5,145,6.0,1.0
482182.2,146,6.0,2.0
466045.44,147,6.0,3.0
477127.56,148,6.0,4.0
466811.84,149,6.0,5.0
442033.75,150,6.0,6.0
417907.75,151,6.0,7.0
423748.25,152,6.0,8.0
393158.3,153,6.0,9.0
426115.5,154,6.0,10.0
409816.75,155,6.0,11.0
410261.4,156,6.0,12.0
407730.8,157,6.0,13.0
431441.34,158,6.0,14.0
432253.03,159,6.0,15.0
421741.94,160,6.0,16.0
422016.47,161,6.0,17.0
440077.88,162,6.0,18.0
444003.62,163,6.0,19.0
452367.56,164,6.0,20.0
453568.28,165,6.0,21.0
498700.12,166,6.0,22.0
551390.7,167,6.0,23.0
533092.1,168,7.0,0.0
483027.44,169,7.0,1.0
460843.47,170,7.0,2.0
428912.0,171,7.0,3.0
443328.38,172,7.0,4.0
413532.53,173,7.0,5.0
430412.5,174,7.0,6.0
364839.84,175,7.0,7.0
409009.6,176,7.0,8.0
420429.72,177,7.0,9.0
414958.25,178,7.0,10.0
403011.9,179,7.0,11.0
401694.66,180,7.0,12.0
401652.38,181,7.0,13.0
424281.12,182,7.0,14.0
412848.22,183,7.0,15.0
420622.44,184,7.0,16.0
406209.12,185,7.0,17.0
438794.4,186,7.0,18.0
414977.2,187,7.0,19.0
460268.7,188,7.0,20.0
444195.53,189,7.0,21.0
488893.62,190,7.0,22.0
567133.1,191,7.0,23.0
528545.0,192,8.0,0.0
456581.75,193,8.0,1.0
456115.88,194,8.0,2.0
441087.75,195,8.0,3.0
460598.3,196,8.0,4.0
438352.94,197,8.0,5.0
427864.4,198,8.0,6.0
409679.28,199,8.0,7.0
425517.28,200,8.0,8.0
413546.62,201,8.0,9.0
409938.84,202,8.0,10.0
406056.12,203,8.0,11.0
411729.34,204,8.0,12.0
433532.25,205,8.0,13.0
421366.3,206,8.0,14.0
418682.7,207,8.0,15.0
414140.7,208,8.0,16.0
420581.7,209,8.0,17.0
425769.4,210,8.0,18.0
420547.72,211,8.0,19.0
446924.44,212,8.0,20.0
455369.2,213,8.0,21.0
454819.28,214,8.0,22.0
536998.2,215,8.0,23.0
519428.56,216,9.0,0.0
441146.44,217,9.0,1.0
437810.28,218,9.0,2.0
435180.5,219,9.0,3.0
437973.5,220,9.0,4.0
410160.06,221,9.0,5.0
402345.44,222,9.0,6.0
398929.0,223,9.0,7.0
426832.0,224,9.0,8.0
395458.38,225,9.0,9.0
414886.7,226,9.0,10.0
406693.34,227,9.0,11.0
406893.88,228,9.0,12.0
404832.94,229,9.0,13.0
421875.9,230,9.0,14.0
413337.4,231,9.0,15.0
422133.5,232,9.0,16.0
418243.75,233,9.0,17.0
427096.88,234,9.0,18.0
426507.44,235,9.0,19.0
427388.2,236,9.0,20.0
433482.4,237,9.0,21.0
464095.7,238,9.0,22.0
525223.1,239,9.0,23.0
542851.4,240,10.0,0.0
457458.06,241,10.0,1.0
464979.25,242,10.0,2.0
433105.88,243,10.0,3.0
431000.44,244,10.0,4.0
432584.56,245,10.0,5.0
449829.16,246,10.0,6.0
422728.88,247,10.0,7.0
436744.72,248,10.0,8.0
428732.2,249,10.0,9.0
423013.44,250,10.0,10.0
411627.3,251,10.0,11.0
432136.25,252,10.0,12.0
432148.97,253,10.0,13.0
409976.0,254,10.0,14.0
416970.22,255,10.0,15.0
421899.7,256,10.0,16.0
430801.1,257,10.0,17.0
