density,sample,row,col,plate ,Well
520699.5,165,6,21,1040,D11
437874.53,166,6,22,1040,D12
654002.5,167,6,23,1040,D12
674879.2,168,7,0,1040,D01
575618.4,169,7,1,1040,D01
492720.62,170,7,2,1040,D02
448095.8,171,7,3,1040,D02
528656,172,7,4,1040,D03
491820.56,173,7,5,1040,D03
563794.3,174,7,6,1040,D04
519924.94,175,7,7,1040,D04
560405.06,176,7,8,1040,D05
538556.6,177,7,9,1040,D05
567522.4,178,7,10,1040,D06
534921.9,179,7,11,1040,D06
566941.7,180,7,12,1040,D07
557486.75,181,7,13,1040,D07
568654.5,182,7,14,1040,D08
557166,183,7,15,1040,D08
573614.2,184,7,16,1040,D09
547270.06,185,7,17,1040,D09
440911.75,186,7,18,1040,D10
428694,187,7,19,1040,D10
491989,188,7,20,1040,D11
483508.12,189,7,21,1040,D11
616944.06,190,7,22,1040,D12
690825.4,191,7,23,1040,D12
490413.38,192,8,0,1040,E01
569238.94,193,8,1,1040,E01
406621.25,194,8,2,1040,E02
517642.62,195,8,3,1040,E02
366557.3,196,8,4,1040,E03
501383.53,197,8,5,1040,E03
353967.5,198,8,6,1040,E04
506347.53,199,8,7,1040,E04
345997.84,200,8,8,1040,E05
498610.56,201,8,9,1040,E05
345250.44,202,8,10,1040,E06
499917.06,203,8,11,1040,E06
339920.84,204,8,12,1040,E07
491386.88,205,8,13,1040,E07
333383.72,206,8,14,1040,E08
488906.94,207,8,15,1040,E08
336294.8,208,8,16,1040,E09
484823.53,209,8,17,1040,E09
375689.53,210,8,18,1040,E10
497249.44,211,8,19,1040,E10
379174.16,212,8,20,1040,E11
515729.2,213,8,21,1040,E11
435817.56,214,8,22,1040,E12
657432.06,215,8,23,1040,E12
701275.3,216,9,0,1040,E01
591940.06,217,9,1,1040,E01
582856,218,9,2,1040,E02
546973.44,219,9,3,1040,E02
566174.4,220,9,4,1040,E03
550468.56,221,9,5,1040,E03
564437,222,9,6,1040,E04
546463.3,223,9,7,1040,E04
562806.5,224,9,8,1040,E05
544111.5,225,9,9,1040,E05
576363.4,226,9,10,1040,E06
549712.4,227,9,11,1040,E06
555453.7,228,9,12,1040,E07
541930.9,229,9,13,1040,E07
578954.56,230,9,14,1040,E08
574142.75,231,9,15,1040,E08
555530.4,232,9,16,1040,E09
565049,233,9,17,1040,E09
523878,234,9,18,1040,E10
513035.7,235,9,19,1040,E10
546748.3,236,9,20,1040,E11
528903.5,237,9,21,1040,E11
618507.06,238,9,22,1040,E12
689502,239,9,23,1040,E12
498917.88,240,10,0,1040,F01
567421.9,241,10,1,1040,F01
388572.3,242,10,2,1040,F02
503977.62,243,10,3,1040,F02
365522.16,244,10,4,1040,F03
498196.62,245,10,5,1040,F03
330142.3,246,10,6,1040,F04
497060.25,247,10,7,1040,F04
340764.25,248,10,8,1040,F05
489557.75,249,10,9,1040,F05
268490.66,250,10,10,1040,F06
493102.44,251,10,11,1040,F06
325262.56,252,10,12,1040,F07
488108.03,253,10,13,1040,F07
321065.88,254,10,14,1040,F08
498434.97,255,10,15,1040,F08
328223.66,256,10,16,1040,F09
467305.1,257,10,17,1040,F09
377779,258,10,18,1040,F10
522720.97,259,10,19,1040,F10
363096.94,260,10,20,1040,F11
521987.03,261,10,21,1040,F11
441878.62,262,10,22,1040,F12
664857,263,10,23,1040,F12
679618.06,264,11,0,1040,F01
597136.4,265,11,1,1040,F01
585656.1,266,11,2,1040,F02
558072.56,267,11,3,1040,F02
561702.6,268,11,4,1040,F03
546480.8,269,11,5,1040,F03
574244.6,270,11,6,1040,F04
592054.06,271,11,7,1040,F04
553311.56,272,11,8,1040,F05
528220.2,273,11,9,1040,F05
576764.56,274,11,10,1040,F06
576640.4,275,11,11,1040,F06
577931.25,276,11,12,1040,F07
570819.1,277,11,13,1040,F07
581547.06,278,11,14,1040,F08
583050.1,279,11,15,1040,F08
538141,280,11,16,1040,F09
536229.2,281,11,17,1040,F09
563858.4,282,11,18,1040,F10
539493.75,283,11,19,1040,F10
539329.06,284,11,20,1040,F11
570680.7,285,11,21,1040,F11
640038.2,286,11,22,1040,F12
713978.75,287,11,23,1040,F12
502138.2,288,12,0,1040,G01
582729.8,289,12,1,1040,G01
380485.7,290,12,2,1040,G02
494092.9,291,12,3,1040,G02
370796.2,292,12,4,1040,G03
481823.8,293,12,5,1040,G03
356751.75,294,12,6,1040,G04
509457.56,295,12,7,1040,G04
343750.88,296,12,8,1040,G05
514282.12,297,12,9,1040,G05
341871,298,12,10,1040,G06
509870.38,299,12,11,1040,G06
338282.16,300,12,12,1040,G07
529267.5,301,12,13,1040,G07
346919.72,302,12,14,1040,G08
502512.53,303,12,15,1040,G08
344726.22,304,12,16,1040,G09
509160.53,305,12,17,1040,G09
385135.7,306,12,18,1040,G10
541196.2,307,12,19,1040,G10
